file	PRS_type	threshold	fold	Count	BETA	SE	P	r2_PRS	r2_full	AUC
input/fig3ab_prs/snp//fold91.SNP.0.001.sscore	SNP	0.001	91	1569.9770114942528	83.46193831344002	47.79356618180077	0.08075871345575719	0.0246614	0.0977345	0.5751552795031056
input/fig3ab_prs/snp//fold91.SNP.0.01.sscore	SNP	0.01	91	11425.965517241379	297.56022483614584	137.860406121151	0.030895436081552326	0.0380843	0.110152	0.6113181504485853
input/fig3ab_prs/snp//fold91.SNP.0.05.sscore	SNP	0.05	91	43167.942528735635	1003.0078378156772	346.1366864500172	0.003758837944579604	0.0695811	0.139289	0.633264320220842
input/fig3ab_prs/snp//fold91.SNP.0.1.sscore	SNP	0.1	91	74793.93103448275	1726.838064079334	490.889116901364	4.3517917150234195e-4	0.10389	0.171027	0.6763285024154589
input/fig3ab_prs/snp//fold92.SNP.0.00001.sscore	SNP	1e-5	92	36	9.608119083157701	5.895455830449693	0.10315434718909991	0.0221859	0.193529	0.5537325676784249
input/fig3ab_prs/snp//fold92.SNP.0.0001.sscore	SNP	1e-4	92	204	29.821618271485065	15.417293237763461	0.05307666800623841	0.0315644	0.201264	0.5694558381186765
input/fig3ab_prs/snp//fold92.SNP.0.001.sscore	SNP	0.001	92	1556	32.5121971321039	38.775072780689534	0.40176010272869866	0.00574526	0.179969	0.5360951599671863
input/fig3ab_prs/snp//fold92.SNP.0.01.sscore	SNP	0.01	92	11609.965714285714	276.21791236008613	153.92308170562245	0.07273035041854514	0.0269089	0.197425	0.5801203171998907
input/fig3ab_prs/snp//fold92.SNP.0.05.sscore	SNP	0.05	92	43671.94285714286	383.3876575960228	300.5556479721887	0.2020982802596213	0.0133483	0.18624	0.5691823899371069
input/fig3ab_prs/snp//fold92.SNP.0.1.sscore	SNP	0.1	92	74385.89714285714	460.48807005685507	417.31406660798024	0.26982881543950626	0.00999994	0.183479	0.5587913590374625
input/fig3ab_prs/snp//fold93.SNP.0.00001.sscore	SNP	1e-5	93	34	0.241105874019871	5.376846972803722	0.9642336475378792	1.60466e-5	0.0852255	0.5108213096559379
input/fig3ab_prs/snp//fold93.SNP.0.0001.sscore	SNP	1e-4	93	218	34.55011421060805	15.009565146703702	0.021342329777876867	0.0431058	0.124644	0.5760266370699223
input/fig3ab_prs/snp//fold93.SNP.0.001.sscore	SNP	0.001	93	1601.9885057471265	26.095855485625638	46.18046214882967	0.5720164067089317	0.00255007	0.0875436	0.5195615982241953
input/fig3ab_prs/snp//fold93.SNP.0.01.sscore	SNP	0.01	93	11709.988505747126	134.64866819650396	142.6785107998602	0.34531237842786194	0.00713732	0.09174	0.5423140954495006
input/fig3ab_prs/snp//fold93.SNP.0.05.sscore	SNP	0.05	93	43871.96551724138	579.7471148230987	327.42672120616356	0.07662451672095612	0.0256194	0.108647	0.56992230854606
