# MAZ-probe fraction bound (%)
# analyzed by log(agonist) vs. response -- Variable slope (four parameters) model in Prism8
MAZ_concentration	11CCG-rep1	11CCG-rep2	11CCG-rep3	25CCG-rep1	25CCG-rep2	25CCG-rep3
0	0	0	0	0	0	0
80	1.525465	0.43783	1.413904	2.888504	1.467498	0.530954
160	5.890289	2.160677	7.206588	7.829188	5.592419	2.920575
240	11.8713	5.48179	12.32476	13.15888	10.9972	8.872429
320	16.57094	7.05324	15.5956	21.12356	14.81222	13.49055
480	20.84103	13.20941	26.63231	27.98778	25.16215	23.36258
640	28.54367	15.23136	29.74255	39.94759	43.39646	42.4459
960	37.3609	25.60625	38.20948	46.07162	55.07752	53.90332
1280	42.36808	34.63851	45.09123	69.37054	76.06171	75.16224
